PRCP,TMAX,TMIN,RAIN
0,57,39,0
0,63,41,0
0,76,41,0
0.03,69,48,1
0.35,64,52,1
0.21,61,45,1
0,55,42,0
0.14,59,45,1
0.03,64,46,1
0,62,41,0
0,69,38,0
0.66,55,48,1
0,56,43,0
0,57,42,0
0,54,39,0
0,58,42,0
0,56,38,0
0,60,41,0
0,65,40,0
0,67,42,0
0,62,43,0
0,63,40,0
0,57,43,0
0,61,45,0
0.19,59,44,1
0.13,60,44,1
0.18,56,42,1
0.04,54,36,1
0,55,32,0
0.09,44,35,0
0,54,40,0
0.2,46,43,1
0.08,46,41,1
0,47,37,0
0.66,49,41,1
0.07,53,36,1
0.18,50,35,1
0.09,51,39,1
0,52,34,0
0,46,34,0
0,46,27,0
0,45,27,0
0,46,30,0
0,42,31,0
0.07,45,38,1
0.15,48,41,1
0.87,50,41,1
0.43,46,39,1
0.67,47,37,1
0.07,47,35,1
0.07,45,34,1
0.22,47,39,1
0.09,50,41,1
0.03,48,40,1
0,55,40,0
0.33,50,41,1
0.05,50,42,1
0.54,48,32,1
0,45,32,0
0.49,48,36,1
0.49,46,36,1
0.2,45,37,1
0.29,45,39,1
0.78,46,38,1
0,44,34,0
0.01,41,31,1
0.11,39,30,1
0.35,41,33,1
0.25,42,36,1
0.29,39,35,1
0.39,38,32,1
0.84,45,34,1
0.16,46,39,1
0.17,42,38,1
0.02,42,35,1
0.3,37,33,1
0.02,39,33,1
0.01,39,31,1
0,45,29,0
0,36,24,0
0,37,24,0
0.73,45,36,1
0,45,32,0
0,39,31,0
0.16,37,28,1
0,42,19,0
0,36,16,0
0,40,29,0
0,47,22,0
0,34,21,0
0.33,45,31,1
0.29,43,34,1
0.46,44,35,1
0.46,41,32,1
0,35,26,0
0.03,40,22,1
0,40,17,0
0,42,20,0
0,41,28,0
0.03,49,37,1
0.52,46,26,1
0,30,18,0
0,32,13,0
0,30,12,0
0,37,17,0
0,36,19,0
0,41,19,0
0,36,25,0
0,46,28,0
0,43,26,0
0.03,43,33,1
0.02,35,29,1
0,35,24,0
0,30,20,0
0.03,35,22,1
0.01,33,21,1
0,30,16,0
0,29,17,0
0,39,17,0
0.1,31,26,1
0,35,24,0
0,41,16,0
0,40,26,0
0,38,28,0
0,37,29,0
0,37,23,0
0.1,33,25,1
0.03,35,27,1
0.11,33,24,1
0.06,35,21,1
0.06,37,31,1
0,38,31,0
0,41,33,0
0.43,43,34,1
0.96,43,30,1
0.02,37,27,1
0,32,21,0
0,34,18,0
0.18,38,30,1
0.12,42,33,1
1.83,48,41,1
0.07,46,33,1
0.01,40,31,1
0.32,33,29,1
0.15,39,26,1
0.97,47,36,1
0.47,50,44,1
0,59,39,0
0,62,37,0
0,62,35,0
0,62,34,0
0,62,32,0
0,66,30,0
0,55,38,0
0,54,41,0
0,61,38,0
0,58,34,0
0,57,38,0
0,53,41,0
0,48,40,0
0.06,48,38,1
0,54,33,0
0,56,39,0
0,60,41,0
0.6,47,43,1
0.08,49,41,1
0.19,48,41,1
0.06,54,38,1
0.34,55,42,1
0.28,58,43,1
0.33,63,44,1
0.65,55,44,1
0.27,48,41,1
0,52,37,0
0,53,33,0
0,55,33,0
0,54,36,0
0.16,53,38,1
0.03,52,37,1
0,52,32,0
0,51,30,0
0.49,43,35,1
0,49,35,0
0,55,30,0
0.07,46,38,1
0,55,38,0
0,62,34,0
0,72,40,0
0.02,57,40,1
0,64,36,0
0,51,38,0
0,60,43,0
0,71,41,0
0,67,43,0
0,58,43,0
0,58,42,0
0,55,40,0
0,73,35,0
0,71,42,0
0,58,45,0
0,54,39,0
0,53,45,0
0.2,55,43,1
0.23,57,43,1
0.01,54,42,1
0.25,55,40,1
0.16,58,43,1
0,59,41,0
0.01,59,43,1
0,69,40,0
0.06,63,43,1
0.1,61,46,1
0,52,39,0
0.07,55,38,1
0.81,52,43,1
0.11,54,40,1
0,56,37,0
0,59,38,0
0,72,36,0
0,70,46,0
0,77,47,0
0,77,47,0
0,74,46,0
0,73,44,0
0,80,48,0
0,78,51,0
0,77,50,0
0,76,47,0
0,65,49,0
0,59,45,0
0,65,45,0
0,78,48,0
0.27,61,47,1
0,68,48,0
0,70,48,0
0,71,52,0
0,76,48,0
0,68,51,0
0,71,47,0
0,71,46,0
0.1,61,51,1
0,65,47,0
0,67,45,0
0,66,47,0
0.01,64,47,1
0.06,64,47,1
0,67,46,0
0,74,45,0
0,80,50,0
0,84,52,0
0,83,53,0
0,72,45,0
0,79,47,0
0.07,76,50,1
0,68,52,0
0,74,47,0
0,74,46,0
0,74,47,0
0,80,47,0
0,68,43,0
0.09,65,44,1
0.16,73,44,1
0,77,46,0
0.02,66,49,1
0.03,71,52,1
0,74,49,0
0,63,51,0
0,68,51,0
0.01,64,47,1
0.01,64,45,1
0.28,63,46,1
0.01,61,45,1
0.17,61,45,1
0.02,64,45,1
0,73,43,0
0,70,45,0
0,72,48,0
0,75,45,0
0,72,43,0
0,68,50,0
0,69,45,0
0,74,50,0
0,80,49,0
0,83,54,0
0,82,50,0
0,75,52,0
0,83,49,0
0,86,50,0
0,85,57,0
0,78,55,0
0,72,54,0
0,77,51,0
0.07,68,53,1
0.07,66,53,1
0,69,52,0
0,71,50,0
0,68,54,0
0.54,66,55,1
0.05,70,52,1
0.11,62,54,1
0.11,65,51,1
0.09,69,50,1
0,75,51,0
0,80,51,0
0,80,55,0
0,86,56,0
0,92,62,0
0,74,55,0
0,71,55,0
0.02,73,55,1
0,74,53,0
0.08,66,54,1
0.01,67,53,1
0,73,54,0
0,74,51,0
0,73,53,0
0.01,70,57,1
0.06,68,49,1
0,72,51,0
0,71,48,0
0,78,50,0
0,72,58,0
0,77,54,0
0,77,52,0
0,81,50,0
0,73,52,0
0,73,55,0
0,75,49,0
0,76,50,0
0.25,70,49,1
0,71,53,0
0,76,48,0
0,80,52,0
0,85,56,0
0,83,55,0
0.02,68,53,1
0,75,55,0
0,78,50,0
0,77,51,0
0,82,59,0
0,83,62,0
0,81,61,0
0,87,55,0
0,85,53,0
0,75,51,0
0,70,54,0
0,67,53,0
0,68,45,0
0,76,44,0
0,79,47,0
0.73,61,52,1
0.35,60,51,1
0.23,62,48,1
0,61,47,0
0.08,63,51,1
0.02,62,49,1
0,65,40,0
0,68,46,0
0,73,44,0
0,73,46,0
0,60,51,0
0,66,51,0
0,77,46,0
0,82,50,0
0,64,54,0
0,65,55,0
0.02,60,49,1
0,65,49,0
0,65,43,0
0.14,56,39,1
0.74,54,47,1
0,61,44,0
0.2,53,42,1
0.15,57,41,1
0,53,39,0
0.18,60,43,1
0.12,56,41,1
0.04,59,46,1
0,60,43,0
0,57,37,0
0,63,36,0
0.2,59,42,1
0,53,41,0
0.05,51,34,1
0,48,32,0
0,50,28,0
0,53,29,0
0,55,32,0
0,60,39,0
0,47,41,0
0,52,42,0
0,48,42,0
0.17,52,44,1
1.17,57,48,1
0.69,58,48,1
0,57,41,0
0,65,41,0
0,71,42,0
0,63,40,0
0,69,38,0
0,69,38,0
0,74,41,0
0,65,40,0
0,55,39,0
0.01,52,38,1
0.06,51,44,1
0.26,51,39,1
0.27,51,42,1
0.69,55,45,1
1.38,50,44,1
0.23,54,49,1
0.12,56,47,1
0,53,44,0
0,66,43,0
0,56,43,0
0.06,53,45,1
0,50,45,0
0,49,39,0
0,54,35,0
0.67,54,39,1
0.22,52,47,1
0.15,58,48,1
0.3,59,47,1
1.17,61,48,1
0.37,54,46,1
0.42,49,43,1
0.37,50,40,1
0.03,52,43,1
0.43,55,48,1
0,49,38,0
0,45,30,0
0,54,41,0
0.1,47,35,1
0,45,31,0
0,45,34,0
0.02,44,27,1
0.07,43,32,1
0.01,38,25,1
0.13,34,24,1
0.11,37,31,1
0,45,36,0
0,49,38,0
0.15,43,33,1
0.21,40,35,1
0.1,42,33,1
0.3,34,24,1
0,30,17,0
0.07,37,22,1
0.02,44,35,1
0.01,47,42,1
1.14,47,36,1
0.03,42,32,1
0.23,43,37,1
0.12,42,39,1
1.27,48,41,1
0.26,52,44,1
0.22,54,32,1
